F1,F2,F3,F4,F5
375,1898,2797,3961,4469
516,1914,2813,4016,4563
516,1938,2836,4055,4328
453,1539,1930,2789,4219
438,1539,2008,2945,4453
570,1328,1992,2453,4359
750,1188,1945,2492,2883
516,938,1906,2859,3828
484,1922,2883,4109,4641
461,1953,2922,3953,4641
422,2000,2867,4383,4867
773,1492,2742,3836,4266
789,1602,2547,3914,4266
352,1578,2438,3820,4641
352,1039,1836,4102,4445
414,1766,2719,4063,4844
734,1766,2930,4148,4703
484,2102,2930,3852,4273
461,2078,2930,3836,4594
539,2094,2867,3836,4633
836,2211,2945,3961,4500
508,2430,2953,4211,4531
727,2594,3109,3859,4453
414,820,2531,3063,3883
297,773,2484,2984,4219
734,2461,2984,3992,4320
625,2594,2984,4000,4828
531,2531,2984,3875,4648
289,2617,3883,4477,4758
375,2242,2781,3563,3867
281,1648,2461,3742,4633
313,1602,2688,3734,4102
258,1633,2563,3734,4305
227,1672,2641,3594,4094
414,1570,2461,3797,4281
422,1492,2523,3945,4555
336,1516,2656,3633,4313
508,1609,2914,3516,4023
750,1672,2500,3516,3969
844,1664,2914,3578,4383
336,1688,3000,3602,4688
328,1633,2984,3313,4617
281,1633,2961,3500,4867
1648,3055,3469,4313,4813
1617,3023,3805,4195,4813
305,1570,2969,3320,4195
195,1648,2984,3977,4594
273,1656,3047,3547,3977
352,1555,3375,4063,4789
266,1555,3234,4227,4789
305,1203,1555,3594,4906
328,1547,3016,3781,4227
328,1320,2789,3781,4227
781,1383,2820,3578,4242
836,1430,2703,3070,4305
898,1391,2734,3070,3359
344,797,1328,2609,3398
273,664,1297,2578,3359
117,820,1695,3336,4172
898,1750,3000,4172,4547
898,1602,2344,3000,4328
898,1539,2344,3000,4422
898,1578,2398,2953,4453
227,1641,2508,3352,4680
227,1477,2617,3156,4430
203,844,1758,3625,4656
570,1086,1859,2727,4461
648,1086,1906,3805,4406
641,1086,1719,3797,4367
633,1789,2734,3766,4438
547,1891,2898,3828,4672
789,1789,3094,4117,4891
578,1969,3555,4117,4484
500,1266,1938,3570,4344
500,930,1914,3750,4656
586,1023,1867,3844,4688
766,1766,3383,3672,4805
773,1938,3078,3672,4805
641,1805,3148,3945,4836
539,867,1906,4063,4766
1078,2094,2617,3625,4766
930,1984,3625,4063,4742
797,1898,2813,3758,4594
633,2242,2906,3758,4305
641,1680,3086,3945,4469
805,1359,1734,2336,4398
578,1383,3242,3781,4398
391,1945,2508,3070,4180
141,1320,2383,3391,3813
86,938,1438,2148,3430
133,711,2039,3320,3875
1336,2063,3188,4188,4656
1320,2289,3133,4023,4727
336,938,2234,3234,4719
94,1141,1938,3188,4445
891,1313,1906,3008,4039
805,1945,2719,3500,4336
